listing_id,city_id,community_id,title,source,source_listing_id,source_url,total_price_10k,unit_price,area_sqm,listing_type,bedrooms,bathrooms,orientation,floor_number,has_elevator,decorate_type,build_year,nearest_metro_distance_m,school_ids_json,tags_json,crawl_date
12,2,1,华润城润府 123㎡ 东南,深圳住建局公开成交,深圳-LS-000012,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1128,91446,123.4,二手房,3,2,东南,高楼层,False,精装,2006,200,[],[],2026-05-18
13,2,1,华润城润府 80㎡ 东南,深圳住建局公开成交,深圳-LS-000013,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,869,108644,80.0,二手房,3,2,西,低楼层,True,毛坯,2007,400,[],[],2026-05-11
14,2,1,华润城润府 116㎡ 西向,深圳住建局公开成交,深圳-LS-000014,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1158,99669,116.3,二手房,4,2,南北通透,低楼层,False,精装,2017,600,[],[],2026-05-04
15,2,1,华润城润府 105㎡ 东南,深圳住建局公开成交,深圳-LS-000015,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,908,86060,105.6,二手房,2,2,南,顶层,True,普装,2014,1200,[],[],2026-05-04
16,2,1,华润城润府 82㎡ 西向,深圳住建局公开成交,深圳-LS-000016,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,891,107573,82.9,二手房,3,1,南,高楼层,True,精装,2011,200,[],[],2026-04-27
17,2,1,华润城润府 110㎡ 北向,深圳住建局公开成交,深圳-LS-000017,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1072,97026,110.5,二手房,4,1,东南,中楼层,False,普装,2010,600,[],[],2026-04-27
18,2,1,华润城润府 123㎡ 南北通透,深圳住建局公开成交,深圳-LS-000018,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1228,99266,123.8,二手房,3,2,南北通透,中楼层,True,毛坯,2023,1200,[],[],2026-04-20
19,2,1,华润城润府 103㎡ 北向,深圳住建局公开成交,深圳-LS-000019,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,897,86817,103.3,二手房,3,1,东南,低楼层,True,豪装,2009,800,[],[],2026-04-20
20,2,1,华润城润府 67㎡ 南北通透,深圳住建局公开成交,深圳-LS-000020,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,688,101756,67.6,二手房,2,1,西,高楼层,True,普装,2011,200,[],[],2026-04-20
21,2,1,华润城润府 116㎡ 南北通透,深圳住建局公开成交,深圳-LS-000021,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1242,106962,116.2,二手房,2,1,东南,高楼层,False,豪装,2011,1200,[],[],2026-04-13
22,2,1,华润城润府 129㎡ 南向,深圳住建局公开成交,深圳-LS-000022,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1192,92191,129.3,二手房,3,2,西,低楼层,False,毛坯,2013,1200,[],[],2026-04-13
23,2,1,华润城润府 114㎡ 南向,深圳住建局公开成交,深圳-LS-000023,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1003,87616,114.5,二手房,3,1,南北通透,高楼层,False,豪装,2024,2000,[],[],2026-04-13
24,2,1,华润城润府 85㎡ 西向,深圳住建局公开成交,深圳-LS-000024,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,871,101648,85.8,二手房,3,1,西,中楼层,True,精装,2012,800,[],[],2026-04-06
25,2,1,华润城润府 85㎡ 南北通透,深圳住建局公开成交,深圳-LS-000025,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,820,95424,86.0,二手房,2,1,南北通透,低楼层,True,普装,2008,200,[],[],2026-03-30
26,2,1,华润城润府 74㎡ 南北通透,深圳住建局公开成交,深圳-LS-000026,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,796,107332,74.2,二手房,4,1,西,中楼层,False,精装,2006,400,[],[],2026-03-23
27,2,1,华润城润府 79㎡ 北向,深圳住建局公开成交,深圳-LS-000027,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,841,105295,80.0,二手房,3,1,东南,低楼层,False,精装,2007,2000,[],[],2026-03-23
28,2,1,华润城润府 129㎡ 东南,深圳住建局公开成交,深圳-LS-000028,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1133,87475,129.6,二手房,3,1,南北通透,顶层,True,普装,2009,2000,[],[],2026-03-23
29,2,1,华润城润府 129㎡ 北向,深圳住建局公开成交,深圳-LS-000029,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1112,85899,129.5,二手房,4,2,西,中楼层,True,豪装,2024,400,[],[],2026-03-16
30,2,1,华润城润府 128㎡ 北向,深圳住建局公开成交,深圳-LS-000030,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1341,104051,128.9,二手房,2,2,东南,低楼层,False,精装,2008,2000,[],[],2026-03-16
31,2,1,华润城润府 128㎡ 东南,深圳住建局公开成交,深圳-LS-000031,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1121,87295,128.4,二手房,2,1,南,中楼层,True,毛坯,2020,2000,[],[],2026-03-09
32,2,1,华润城润府 68㎡ 北向,深圳住建局公开成交,深圳-LS-000032,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,736,107577,68.5,二手房,4,1,东南,中楼层,False,豪装,2007,600,[],[],2026-03-09
33,2,1,华润城润府 73㎡ 东南,深圳住建局公开成交,深圳-LS-000033,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,774,105826,73.2,二手房,2,2,南北通透,高楼层,False,豪装,2013,600,[],[],2026-03-02
34,2,1,华润城润府 83㎡ 西向,深圳住建局公开成交,深圳-LS-000034,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,919,109485,84.0,二手房,2,1,西,低楼层,False,毛坯,2012,1200,[],[],2026-03-02
35,2,1,华润城润府 91㎡ 东南,深圳住建局公开成交,深圳-LS-000035,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,816,89142,91.6,二手房,2,1,东南,高楼层,True,普装,2017,800,[],[],2026-02-23
36,2,1,华润城润府 118㎡ 北向,深圳住建局公开成交,深圳-LS-000036,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,992,83740,118.5,二手房,4,2,南,高楼层,False,精装,2022,1200,[],[],2026-02-23
37,2,1,华润城润府 60㎡ 北向,深圳住建局公开成交,深圳-LS-000037,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,650,106827,60.9,二手房,4,1,南,高楼层,True,毛坯,2015,2000,[],[],2026-02-16
38,2,1,华润城润府 60㎡ 南向,深圳住建局公开成交,深圳-LS-000038,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,539,89269,60.4,二手房,4,2,南,中楼层,False,普装,2013,400,[],[],2026-02-16
39,2,1,华润城润府 99㎡ 北向,深圳住建局公开成交,深圳-LS-000039,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1044,105064,99.4,二手房,3,2,东南,中楼层,False,普装,2021,800,[],[],2026-02-16
40,2,1,华润城润府 73㎡ 南向,深圳住建局公开成交,深圳-LS-000040,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,646,88512,73.0,二手房,4,1,西,低楼层,True,普装,2014,1200,[],[],2026-02-09
41,2,1,华润城润府 82㎡ 北向,深圳住建局公开成交,深圳-LS-000041,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,810,98490,82.3,二手房,3,1,西,顶层,True,豪装,2009,800,[],[],2026-02-02
42,2,1,华润城润府 81㎡ 南向,深圳住建局公开成交,深圳-LS-000042,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,823,101203,81.3,二手房,3,1,东南,高楼层,False,毛坯,2014,1200,[],[],2026-01-26
43,2,1,华润城润府 93㎡ 北向,深圳住建局公开成交,深圳-LS-000043,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,903,96990,93.1,二手房,3,1,东南,低楼层,True,普装,2020,1200,[],[],2026-01-26
44,2,1,华润城润府 128㎡ 东南,深圳住建局公开成交,深圳-LS-000044,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,1414,110156,128.4,二手房,2,1,南,中楼层,True,毛坯,2023,1200,[],[],2026-01-19
45,2,1,华润城润府 90㎡ 南北通透,深圳住建局公开成交,深圳-LS-000045,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,757,83698,90.5,二手房,3,1,西,顶层,True,精装,2006,800,[],[],2026-01-19
46,2,1,华润城润府 72㎡ 东南,深圳住建局公开成交,深圳-LS-000046,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,604,83324,72.6,二手房,2,1,西,高楼层,True,精装,2010,200,[],[],2026-01-12
47,2,1,华润城润府 106㎡ 东南,深圳住建局公开成交,深圳-LS-000047,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,936,87897,106.6,二手房,3,1,南北通透,低楼层,True,精装,2014,400,[],[],2026-01-12
48,2,1,华润城润府 66㎡ 北向,深圳住建局公开成交,深圳-LS-000048,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,628,94250,66.7,二手房,2,1,南北通透,高楼层,True,毛坯,2021,2000,[],[],2026-01-05
49,2,1,华润城润府 66㎡ 北向,深圳住建局公开成交,深圳-LS-000049,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,632,95513,66.2,二手房,3,1,南北通透,高楼层,False,豪装,2022,2000,[],[],2026-01-05
50,2,1,华润城润府 67㎡ 东南,深圳住建局公开成交,深圳-LS-000050,https://sz.ke.com/ershoufang/rs%E5%8D%8E%E6%B6%A6%E5%9F%8E%E6%B6%A6%E5%BA%9C/,657,97021,67.8,二手房,3,1,西,中楼层,False,精装,2006,1200,[],[],2026-01-05
51,2,2,深圳湾科技城 64㎡ 南向,深圳住建局公开成交,深圳-LS-000051,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,687,106375,64.6,二手房,4,1,南北通透,高楼层,True,豪装,2019,400,[],[],2026-06-29
52,2,2,深圳湾科技城 108㎡ 北向,深圳住建局公开成交,深圳-LS-000052,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1282,118138,108.6,二手房,2,1,西,顶层,False,普装,2013,600,[],[],2026-06-29
53,2,2,深圳湾科技城 125㎡ 西向,深圳住建局公开成交,深圳-LS-000053,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1376,109426,125.8,二手房,2,1,东南,中楼层,True,精装,2018,1200,[],[],2026-06-22
54,2,2,深圳湾科技城 71㎡ 西向,深圳住建局公开成交,深圳-LS-000054,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,832,115995,71.8,二手房,3,1,南北通透,中楼层,True,豪装,2016,200,[],[],2026-06-22
55,2,2,深圳湾科技城 93㎡ 南向,深圳住建局公开成交,深圳-LS-000055,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1026,109297,93.9,二手房,3,2,南,中楼层,True,精装,2011,400,[],[],2026-06-22
56,2,2,深圳湾科技城 106㎡ 北向,深圳住建局公开成交,深圳-LS-000056,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1394,130652,106.8,二手房,3,2,东南,低楼层,True,普装,2019,2000,[],[],2026-06-15
57,2,2,深圳湾科技城 91㎡ 南向,深圳住建局公开成交,深圳-LS-000057,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1056,115872,91.1,二手房,4,2,东南,高楼层,False,豪装,2009,800,[],[],2026-06-15
58,2,2,深圳湾科技城 97㎡ 南向,深圳住建局公开成交,深圳-LS-000058,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1264,129798,97.4,二手房,3,2,东南,高楼层,True,豪装,2016,600,[],[],2026-06-15
59,2,2,深圳湾科技城 99㎡ 北向,深圳住建局公开成交,深圳-LS-000059,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1312,132210,99.3,二手房,2,2,南北通透,低楼层,True,豪装,2020,600,[],[],2026-06-08
60,2,2,深圳湾科技城 126㎡ 南向,深圳住建局公开成交,深圳-LS-000060,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1596,125927,126.8,二手房,3,2,东南,中楼层,False,精装,2008,800,[],[],2026-06-01
61,2,2,深圳湾科技城 124㎡ 西向,深圳住建局公开成交,深圳-LS-000061,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1458,117326,124.3,二手房,4,2,西,低楼层,True,豪装,2013,800,[],[],2026-06-01
62,2,2,深圳湾科技城 119㎡ 北向,深圳住建局公开成交,深圳-LS-000062,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1404,117231,119.8,二手房,3,1,南北通透,顶层,True,毛坯,2007,800,[],[],2026-06-01
63,2,2,深圳湾科技城 116㎡ 北向,深圳住建局公开成交,深圳-LS-000063,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1516,129857,116.8,二手房,2,2,东南,低楼层,True,普装,2005,800,[],[],2026-05-25
64,2,2,深圳湾科技城 74㎡ 南北通透,深圳住建局公开成交,深圳-LS-000064,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1006,135116,74.5,二手房,2,1,东南,高楼层,False,普装,2022,2000,[],[],2026-05-25
65,2,2,深圳湾科技城 95㎡ 西向,深圳住建局公开成交,深圳-LS-000065,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1322,138286,95.7,二手房,2,1,西,顶层,False,普装,2013,600,[],[],2026-05-25
66,2,2,深圳湾科技城 82㎡ 东南,深圳住建局公开成交,深圳-LS-000066,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,913,111157,82.2,二手房,3,1,东南,中楼层,True,毛坯,2021,200,[],[],2026-05-18
67,2,2,深圳湾科技城 91㎡ 南北通透,深圳住建局公开成交,深圳-LS-000067,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1259,137216,91.8,二手房,2,1,东南,顶层,True,普装,2006,600,[],[],2026-05-11
68,2,2,深圳湾科技城 119㎡ 东南,深圳住建局公开成交,深圳-LS-000068,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1309,109394,119.7,二手房,3,2,东南,高楼层,False,毛坯,2019,2000,[],[],2026-05-11
69,2,2,深圳湾科技城 79㎡ 北向,深圳住建局公开成交,深圳-LS-000069,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,882,111346,79.2,二手房,4,1,南,中楼层,True,豪装,2010,600,[],[],2026-05-11
70,2,2,深圳湾科技城 107㎡ 南北通透,深圳住建局公开成交,深圳-LS-000070,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1338,124374,107.6,二手房,3,1,西,顶层,True,精装,2006,1200,[],[],2026-05-04
71,2,2,深圳湾科技城 76㎡ 北向,深圳住建局公开成交,深圳-LS-000071,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,816,106611,76.6,二手房,4,1,南北通透,高楼层,True,普装,2019,2000,[],[],2026-04-27
72,2,2,深圳湾科技城 103㎡ 北向,深圳住建局公开成交,深圳-LS-000072,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1385,134455,103.0,二手房,4,1,西,顶层,True,精装,2014,600,[],[],2026-04-27
73,2,2,深圳湾科技城 76㎡ 南向,深圳住建局公开成交,深圳-LS-000073,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,953,124802,76.4,二手房,3,1,南北通透,顶层,False,精装,2023,600,[],[],2026-04-27
74,2,2,深圳湾科技城 67㎡ 南北通透,深圳住建局公开成交,深圳-LS-000074,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,960,142531,67.4,二手房,3,1,南北通透,高楼层,True,精装,2013,600,[],[],2026-04-20
75,2,2,深圳湾科技城 99㎡ 东南,深圳住建局公开成交,深圳-LS-000075,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1215,122199,99.4,二手房,4,1,南北通透,顶层,True,毛坯,2011,600,[],[],2026-04-13
76,2,2,深圳湾科技城 128㎡ 西向,深圳住建局公开成交,深圳-LS-000076,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1756,137215,128.0,二手房,4,1,南北通透,低楼层,True,毛坯,2021,1200,[],[],2026-04-06
77,2,2,深圳湾科技城 102㎡ 北向,深圳住建局公开成交,深圳-LS-000077,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1231,120550,102.1,二手房,4,1,西,低楼层,True,毛坯,2012,600,[],[],2026-04-06
78,2,2,深圳湾科技城 76㎡ 西向,深圳住建局公开成交,深圳-LS-000078,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1070,139963,76.5,二手房,3,2,西,高楼层,True,毛坯,2015,2000,[],[],2026-04-06
79,2,2,深圳湾科技城 99㎡ 东南,深圳住建局公开成交,深圳-LS-000079,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1351,135655,99.6,二手房,3,1,南北通透,顶层,True,普装,2021,800,[],[],2026-03-30
80,2,2,深圳湾科技城 122㎡ 东南,深圳住建局公开成交,深圳-LS-000080,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1264,103393,122.3,二手房,4,1,南,低楼层,True,毛坯,2014,200,[],[],2026-03-23
81,2,2,深圳湾科技城 88㎡ 北向,深圳住建局公开成交,深圳-LS-000081,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1193,135508,88.0,二手房,4,1,东南,低楼层,False,精装,2019,200,[],[],2026-03-23
82,2,2,深圳湾科技城 105㎡ 东南,深圳住建局公开成交,深圳-LS-000082,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1124,106507,105.6,二手房,2,2,南北通透,中楼层,False,豪装,2015,200,[],[],2026-03-16
83,2,2,深圳湾科技城 61㎡ 东南,深圳住建局公开成交,深圳-LS-000083,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,717,117112,61.3,二手房,4,2,南北通透,低楼层,False,普装,2008,1200,[],[],2026-03-16
84,2,2,深圳湾科技城 98㎡ 北向,深圳住建局公开成交,深圳-LS-000084,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1087,110560,98.4,二手房,4,1,南,高楼层,True,普装,2016,600,[],[],2026-03-16
85,2,2,深圳湾科技城 84㎡ 南北通透,深圳住建局公开成交,深圳-LS-000085,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,983,116433,84.5,二手房,2,1,南北通透,顶层,False,普装,2013,400,[],[],2026-03-09
86,2,2,深圳湾科技城 107㎡ 北向,深圳住建局公开成交,深圳-LS-000086,https://sz.ke.com/ershoufang/rs%E6%B7%B1%E5%9C%B3%E6%B9%BE%E7%A7%91%E6%8A%80%E5%9F%8E/,1141,106524,107.2,二手房,3,2,西,中楼层,False,普装,2014,2000,[],[],2026-03-02
