city,publish_date,deal_status,district,location,land_use,area_sqm,start_price_wan,land_no,package_code,source_org,source_url
深圳,2025-07-07,已成交,龙华区,民治街道、大浪街道,二类居住用地,16475.54,155400,A815-0037,深土[2025]-[022],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A815-0037
深圳,2025-06-30,已成交,龙华区,民治街道、大浪街道,二类居住用地,21920.84,190600,A815-0036,深土[2025]-[020],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A815-0036
深圳,2025-06-30,已成交,宝安区,新桥街道,二类居住用地,19246.94,109000,A319-1225,深土[2025]-[021],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A319-1225
深圳,2025-06-13,已成交,前海深港现代服务业合作区,前海合作区南山街道枢纽一街北侧,二类居住用地,8287.15,115800,T201-0232,深土[2025]-[019],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=T201-0232
深圳,2025-06-06,已成交,龙华区,民治街道,二类居住用地,21820.58,168400,A802-0309,深土[2025]-[017],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A802-0309
深圳,2025-05-28,已成交,光明区,光明区光明街道,二类居住用地,34995.97,199400,A509-0074,深土[2025]-[013],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A509-0074
深圳,2025-05-20,已成交,龙华区,民治街道,二类居住用地,10898.05,82700,A817-0619,深土[2025]-[012],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A817-0619
深圳,2024-12-18,已成交,龙岗区,龙岗区龙城街道龙飞大道和青春路交叉口东北侧,二类居住用地,20838.77,179900,G01045-0200,深土[2024]-[053],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G01045-0200
深圳,2024-11-25,已成交,深汕特别合作区,鹅埠街道，深汕大道与产业路交汇处西北侧,三类居住用地（宿舍型保障性租赁住房）,7542,970,E2024-0002,深土[2024]-[051],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=E2024-0002
深圳,2024-11-02,已成交,南山区,南山区 粤海街道,二类居住用地+商业用地+道路用地,38566.56,1265200,T107-0107,深土[2024]-[043],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=T107-0107
深圳,2024-10-14,已成交,前海深港现代服务业合作区,前海合作区招商街道,居住用地,13657.28,123200,K104-0049,深土[2024]-[035],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=K104-0049
深圳,2024-09-04,已成交,宝安区,宝安区航城街道、福永街道,二类居住用地+公园绿地+交通用地,181551.54,666500,A219-0080,深土[2024]-[029],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A219-0080
深圳,2024-08-28,已成交,宝安区,宝安区新安街道,二类居住用地,9997.8,208000,A001-0219,深土[2024]-[025],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A001-0219
深圳,2024-01-25,已成交,龙华区,龙华区民治街道,二类居住用地 +道路用地,46763.51,516900,A808-0025,深土[2024]-[001],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A808-0025
深圳,2023-11-16,已成交,龙华区,龙华区观澜街道,二类居住用地,9454.43,75400,A925-1146,深土[2023]-[063],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A925-1146
深圳,2023-11-16,已成交,坪山区,坪山区龙田街道,二类居住用地,4943.21,11900,G12302-8051,深土[2023]-[064],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G12302-8051
深圳,2023-07-20,已成交,光明区,光明区凤凰街道,二类居住用地+道路用地,39078.97,373200,A614-0522,深土[2023]-[047],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A614-0522
深圳,2023-07-20,已成交,光明区,光明区凤凰街,二类居住用地,14262.5,146500,A503-0107,深土[2023]-[046],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A503-0107
深圳,2023-07-20,已成交,龙岗区,龙岗区宝龙街道,三类居住用地,7512.96,6600,G02315-0028,深土[2023]-[045],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G02315-0028
深圳,2023-07-04,已成交,宝安区,宝安区新安街道,二类居住用地,15239.84,296200,A001-0212,深土[2023]-[039],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A001-0212
深圳,2023-06-15,已成交,深汕特别合作区,深汕特别合作区小漠镇,二类居住用地,61574,37300,X2022-0001,深土[2023]-[034],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=X2022-0001
深圳,2023-06-01,已成交,南山区,南山区沙河街道,二类居住用地+城市道路用地,36293.5,1089800,T207-0060,深土[2023]-[033],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=T207-0060
深圳,2023-06-01,已成交,龙华区,龙华区民治街道,商业用地+二类居住用地,10118.41,144100,A811-0347,深土[2023]-[032],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A811-0347
深圳,2023-03-02,已成交,宝安区,宝安区沙井街道,二类居住用地,25246.02,192900,A301-0602,深土[2023]-[007],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A301-0602
深圳,2023-03-02,已成交,光明区,光明区马田街道,居住用地,22024.79,156200,A629-1340,深土[2023]-[008],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A629-1340
深圳,2023-03-02,已成交,坪山区,坪山区碧岭街道,居住用地,36026.37,154900,G11330-8045,深土[2023]-[010],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G11330-8045
深圳,2023-03-02,已成交,光明区,光明区新湖街道,二类居住用地,12222.85,89500,A650-0385,深土[2023]-[006],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A650-0385
深圳,2023-03-02,已成交,龙岗区,龙岗区龙岗街道,居住用地,10446.23,60300,G01117-0080,深土[2023]-[009],深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G01117-0080
深圳,2022-10-27,已成交,龙岗区,龙岗区坪地街道,二类居住用地,131619.81,396300,G10203-0499,历史数据-G10203-0499,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G10203-0499
深圳,2022-10-27,已成交,光明区,光明区凤凰街道,二类居住用地+道路用地,28564.79,316200,A503-0100,历史数据-A503-0100,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A503-0100
深圳,2022-10-27,已成交,龙华区,龙华区民治街道,二类居住用地,8720.51,138100,A806-0403,历史数据-A806-0403,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A806-0403
深圳,2022-10-27,已成交,宝安区,宝安区新安街道,二类居住用地,5425.03,52200,A002-0091,历史数据-A002-0091,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A002-0091
深圳,2022-10-27,已成交,龙岗区,龙岗区龙城街道,二类居住用地,5918.41,20500,G01019-0042,历史数据-G01019-0042,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G01019-0042
深圳,2022-10-27,已成交,深汕特别合作区,深汕特别合作区鲘门镇,二类居住用地,50158,14900,H2022-0003,历史数据-H2022-0003,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=H2022-0003
深圳,2022-08-30,已成交,坪山区,坪山区坑梓街道,二类居住用地,192237.39,329200,G14306-8011,历史数据-G14306-8011,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G14306-8011
深圳,2022-08-30,已成交,宝安区,宝安区福海街道,二类居住用地,30862.51,239200,A208-0991,历史数据-A208-0991,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A208-0991
深圳,2022-08-30,已成交,坪山区,坪山区坑梓街道,二类居住用地+公园绿地+商业用地+教育设施用地+道路用地,176349.5,164600,G14306-8012,历史数据-G14306-8012,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G14306-8012
深圳,2022-08-30,已成交,龙华区,龙华区福城街道,二类居住用地,27186.06,150300,A922-0823,历史数据-A922-0823,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A922-0823
深圳,2022-08-30,已成交,坪山区,坪山区石井街道,二类居住用地+道路用地,31192.49,110000,G13305-0046,历史数据-G13305-0046,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G13305-0046
深圳,2022-08-30,已成交,龙华区,龙华区福城街道,二类居住用地,15239.95,30200,A922-0824,历史数据-A922-0824,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A922-0824
深圳,2022-07-05,已成交,龙华区,龙华区民治街道,商业用地、二类居住用地、绿地、道路用地,57044,796900,A806-0401,历史数据-A806-0401,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A806-0401
深圳,2022-07-05,已成交,前海深港现代服务业合作区,前湾片区九单元06街坊,二类居住用地,24272.38,446000,T102-0410,历史数据-T102-0410,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=T102-0410
深圳,2022-07-05,已成交,宝安区,宝安区沙井街道,二类居住用地,37850.08,269800,A301-0586,历史数据-A301-0586,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A301-0586
深圳,2022-07-05,已成交,龙岗区,龙岗区龙城街道,二类居住用地,29360.07,255400,G01048-0153,历史数据-G01048-0153,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G01048-0153
深圳,2022-07-05,已成交,光明区,光明区凤凰街道,二类居住用地,18925.78,211300,A503-0096,历史数据-A503-0096,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A503-0096
深圳,2022-07-05,已成交,龙华区,龙华区民治街道,二类居住用地,12009.77,193900,A806-0400,历史数据-A806-0400,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A806-0400
深圳,2022-07-05,已成交,宝安区,宝安区西乡街道,二类居住用地,16824.41,191000,A104-0147,历史数据-A104-0147,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A104-0147
深圳,2022-07-05,已成交,宝安区,宝安区新安街道,二类居住用地,9852.89,166500,A003-0434,历史数据-A003-0434,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A003-0434
深圳,2022-07-05,已成交,光明区,光明区公明街道,二类居住用地,21039.24,144300,A642-0506,历史数据-A642-0506,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A642-0506
深圳,2022-07-05,已成交,龙岗区,龙岗区龙岗街道,二类居住用地,18754.7,140500,G01126-0090,历史数据-G01126-0090,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G01126-0090
深圳,2022-07-05,已成交,龙华区,龙华区民治街道,二类居住用地,8973.71,110700,A818-0479,历史数据-A818-0479,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A818-0479
深圳,2022-07-05,已成交,坪山区,坪山区石井街道,二类居住用地,16447.68,88700,G12314-8038,历史数据-G12314-8038,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G12314-8038
深圳,2022-07-05,已成交,龙岗区,龙岗区龙城街道,二类居住用地,7378.84,49800,G01009-0006,历史数据-G01009-0006,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G01009-0006
深圳,2022-07-05,已成交,龙岗区,龙岗区宝龙街道,二类居住用地,7697.03,38700,G02409-0004,历史数据-G02409-0004,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G02409-0004
深圳,2022-03-31,已成交,宝安区,宝安区新安街道,二类居住用地+道路用地,98081.84,613200,A012-0112,历史数据-A012-0112,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A012-0112
深圳,2022-03-31,已成交,龙华区,龙华区民治街道,二类居住用地,26114.02,328700,A818-0478,历史数据-A818-0478,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A818-0478
深圳,2022-03-31,已成交,坪山区,坪山区石井街道,二类居住用地+道路用地,76218.65,224000,G12314-8035,历史数据-G12314-8035,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G12314-8035
深圳,2022-03-31,已成交,光明区,光明区凤凰街道,二类居住用地,17195.58,193700,A503-0095,历史数据-A503-0095,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A503-0095
深圳,2022-03-31,已成交,光明区,光明区玉塘街道,二类居住用地,19352.24,165600,A607-0888,历史数据-A607-0888,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A607-0888
深圳,2022-03-31,已成交,坪山区,坪山区龙田街道,二类居住用地,23418.48,82700,G12303-8078,历史数据-G12303-8078,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G12303-8078
深圳,2022-03-31,已成交,深汕特别合作区,深汕特别合作区鹅埠镇,二类居住用地,55316,60200,E2021-0001,历史数据-E2021-0001,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=E2021-0001
深圳,2022-03-31,已成交,龙岗区,龙岗区宝龙街道,居住用地,5431.26,13000,G02310-0001,历史数据-G02310-0001,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G02310-0001
深圳,2021-10-27,已成交,南山区,南山区招商街道兴海大道与赤湾路交汇处西北角,二类居住用地、教育服务用地、文化体育用地,133173.86,870200,K103-0016,历史数据-K103-0016,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=K103-0016
深圳,2021-10-27,已成交,前海深港现代服务业合作区,桂湾片区三开发单元03街坊,二类居住用地,51350.36,753500,T201-0168,历史数据-T201-0168,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=T201-0168
深圳,2021-10-27,已成交,龙岗区,龙岗区园山街道龙岗大道与龙飞大道交汇处西南角与西北角,商业用地+二类居住用地,56576.81,541200,G01063-0264,历史数据-G01063-0264,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G01063-0264
深圳,2021-10-27,已成交,福田区,福田区皇岗路与百合三路交汇处东南侧,居住、商业、服务业,13414.58,332200,B106-0065,历史数据-B106-0065,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=B106-0065
深圳,2021-10-27,已成交,宝安区,宝安区新安街道宝华路与海天路交界处,商业用地+二类居住用地,14556.31,309400,A004-0175,历史数据-A004-0175,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A004-0175
深圳,2021-10-27,已成交,宝安区,宝安区松岗街道沙浦围工业大道以西、沙江路以北、松兴路以南,商业+二类居住用地,25541.93,177900,A407-1020,历史数据-A407-1020,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A407-1020
深圳,2021-10-27,已成交,光明区,光明区新湖街道规划翠辉路与规划建昌路交汇,二类居住用地,18839.88,150200,A641-0030,历史数据-A641-0030,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A641-0030
深圳,2021-10-27,已成交,光明区,光明区龙玉塘道松白路与长岗三路交汇处西南角,二类居住用地,14901.8,141000,A606-0258,历史数据-A606-0258,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A606-0258
深圳,2021-10-27,已成交,坪山区,坪山区坑梓街道金沙社区，兴创路与秋田路交汇处东北角,二类居住用地,21610.93,101200,G14301-0115,历史数据-G14301-0115,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G14301-0115
深圳,2021-10-27,已成交,光明区,光明区新湖街道规划光辉大道与华夏路交汇处东南角,商业用地+二类居住用地,15964.35,94600,A641-0029,历史数据-A641-0029,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A641-0029
深圳,2021-10-27,已成交,龙岗区,龙岗区宝龙街道清风大道与宝龙三路交汇处西南侧,居住用地,14800.71,48500,G02315-0026,历史数据-G02315-0026,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G02315-0026
深圳,2021-08-29,已成交,宝安区,宝安区松岗街道,居住用地,331459.7,632900,A401-0187,历史数据-A401-0187,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A401-0187
深圳,2021-08-29,已成交,前海深港现代服务业合作区,桂湾片区三开发单元04街坊,居住用地,23114.89,455800,T201-0157,历史数据-T201-0157,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=T201-0157
深圳,2021-08-29,已成交,光明区,光明区凤凰街道,二类居住用地,32344.2,324700,A503-0093,历史数据-A503-0093,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A503-0093
深圳,2021-08-29,已成交,龙华区,龙华区民治街道,二类居住用地,23705.24,318800,A817-0614,历史数据-A817-0614,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A817-0614
深圳,2021-08-29,已成交,龙华区,龙华区民治街道,二类居住用地+城市道路用地,27387.65,285900,A806-0394,历史数据-A806-0394,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A806-0394
深圳,2021-08-29,已成交,龙岗区,龙岗区宝龙街道宝龙科技城宝龙大道和冬青路交叉口南侧,二类居住用地、城市道路用地,48413.3,243900,G11101-1126,历史数据-G11101-1126,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G11101-1126
深圳,2021-08-29,已成交,龙华区,龙华区民治街道新区大道与白松路（未建）交叉处东北侧，创业花园南侧,二类居住用地,16652.31,218400,A811-0344,历史数据-A811-0344,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A811-0344
深圳,2021-08-29,已成交,坪山区,坪山区碧岭街道沙湖社区，龙勤路与规划复兴路交汇处南侧,二类居住用地,48873.43,205500,G11329-0102,历史数据-G11329-0102,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G11329-0102
深圳,2021-08-29,已成交,宝安区,宝安区沙井街道,二类居住用地,29666.45,195700,A301-0583,历史数据-A301-0583,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A301-0583
深圳,2021-08-29,已成交,宝安区,宝安区福海街道,二类居住用地,24334.71,189800,A208-0989,历史数据-A208-0989,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A208-0989
深圳,2021-08-29,已成交,光明区,光明区马田街道,二类居住用地+道路用地+生产防护绿地+公共绿地,29034.58,171100,A631-0115,历史数据-A631-0115,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A631-0115
深圳,2021-08-29,已成交,龙岗区,龙岗区龙岗街道,二类居住用地,24989.06,132500,G09202-0047,历史数据-G09202-0047,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G09202-0047
深圳,2021-08-29,已成交,光明区,光明区新湖街道规划光辉大道与楼环路交汇处西南侧,二类居住用地、城市道路用地,26100.71,125100,A622-0118,历史数据-A622-0118,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A622-0118
深圳,2021-08-29,已成交,龙岗区,龙岗区南湾街道香阅路和星火路交叉口西侧,二类居住用地,13708.87,105000,G06301-0416,历史数据-G06301-0416,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G06301-0416
深圳,2021-08-29,已成交,龙岗区,龙岗区宝龙街道宝沙一路和沙荷路交叉口南侧,二类居住用地,20431.93,102500,G02113-0052,历史数据-G02113-0052,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G02113-0052
深圳,2021-08-29,已成交,光明区,光明区光明街道明政路与德雅路交汇处东南角,二类居住+商业用地,10721.07,96500,A511-0039,历史数据-A511-0039,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A511-0039
深圳,2021-08-29,已成交,光明区,光明区玉塘街道光侨路与规划通兴路交汇处西南侧,二类居住用地,11475.3,92400,A602-0990,历史数据-A602-0990,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A602-0990
深圳,2021-08-29,已成交,龙岗区,龙岗区龙岗街道龙坪路与龙凤路交叉口,二类居住用地,14873.47,70000,G10101-0329,历史数据-G10101-0329,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G10101-0329
深圳,2021-08-29,已成交,深汕特别合作区,创强路与鹅埠路交汇处西南侧,二类居住用地,40526,44400,E2021-0002,历史数据-E2021-0002,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=E2021-0002
深圳,2021-08-29,已成交,南山区,南山区西丽街道,居住用地,5925.89,20900,T403-0401,历史数据-T403-0401,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=T403-0401
深圳,2021-08-29,已成交,龙华区,龙华区观湖街道,居住用地,4555.14,10100,A916-0572,历史数据-A916-0572,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A916-0572
深圳,2021-04-14,已成交,南山区,南山区西丽街道,商业用地+二类居住用地,21370.32,476000,T501-0101,历史数据-T501-0101,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=T501-0101
深圳,2021-04-14,已成交,宝安区,宝安区西乡街道,居住用地,21051.16,175400,A122-0372,历史数据-A122-0372,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A122-0372
深圳,2021-04-14,已成交,深汕特别合作区,深汕特别合作区赤石镇北部康养组团，窑陂水库东南侧，毗邻明热河,居住用地,162945,116900,C2020-0002,历史数据-C2020-0002,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=C2020-0002
深圳,2021-04-14,已成交,龙华区,龙华区民治街道龙峰一路南侧，中华路西侧,居住用地,24739.33,115100,A822-0422,历史数据-A822-0422,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A822-0422
深圳,2021-04-14,已成交,深汕特别合作区,深汕特别合作区赤石镇北部康养组团，窑陂水库东南侧，毗邻明热河,居住用地,121603,99200,C2020-0001,历史数据-C2020-0001,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=C2020-0001
深圳,2021-04-14,已成交,光明区,光明区凤凰街道,二类居住用地,10182.04,75000,A646-0083,历史数据-A646-0083,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A646-0083
深圳,2021-01-28,已成交,龙华区,龙华区民治街道,商业用地+二类居住用地,43928.35,223200,A817-0613,历史数据-A817-0613,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A817-0613
深圳,2020-11-17,已成交,龙岗区,龙岗区坂田街道,二类居住用地,21779.76,175500,G03506-0014,历史数据-G03506-0014,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=G03506-0014
深圳,2020-11-17,已成交,深汕特别合作区,深汕特别合作区赤石片区,居住用地,198501,147900,C2020-0005,历史数据-C2020-0005,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=C2020-0005
深圳,2020-11-17,已成交,福田区,福田区莲花街道,二类居住用地,3084.22,16900,B407-0035,历史数据-B407-0035,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=B407-0035
深圳,2020-10-23,已成交,宝安区,宝安区沙井街道,居住、商业、服务业,436809.61,1271000,A301-0575,历史数据-A301-0575,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A301-0575
深圳,2020-10-23,已成交,龙华区,龙华区大浪街道,二类居住、教育设施用地,110523.25,665300,A832-0861,历史数据-A832-0861,深圳公共资源交易中心,https://szggzy.com/mobile/jygg/list.html?id=tdky&landNo=A832-0861
